"x"
"1"	2000
"2"	845
"3"	825
"4"	921
"5"	1400
"6"	434
"7"	914
"8"	3700
"9"	909
"10"	3500
"11"	1200
"12"	1100
"13"	2300
"14"	1900
"15"	4800
"16"	1100
"17"	7200
"18"	12900
"19"	21400
"20"	827
"21"	2100
"22"	1000
"23"	1100
"24"	468
"25"	7600
"26"	2200
"27"	12900
"28"	1400
"29"	878
"30"	4100
"31"	842
"32"	2100
"33"	1300
"34"	962
"35"	926
"36"	5300
"37"	428
"38"	1100
"39"	2400
"40"	2300
"41"	751
"42"	1100
"43"	1400
"44"	1500
"45"	1100
"46"	971
"47"	1500
"48"	850
"49"	694
"50"	939
"51"	3900
"52"	24900
"53"	777
"54"	19200
"55"	596
"56"	791
"57"	22000
"58"	1500
"59"	2800
"60"	765
"61"	896
"62"	995
"63"	922
"64"	1800
"65"	815
"66"	3700
"67"	981
"68"	1100
"69"	1600
"70"	3800
"71"	2200
"72"	2500
"73"	2000
"74"	151
"75"	502
"76"	2600
"77"	1000
"78"	1100
"79"	1200
"80"	930
"81"	5500
"82"	1200
"83"	1000
"84"	3800
"85"	2100
"86"	2300
"87"	1200
"88"	920
"89"	3000
"90"	5200
"91"	1600
"92"	1100
"93"	1100
"94"	2100
"95"	556
"96"	16700
"97"	13800
"98"	1700
"99"	1200
"100"	3800
"101"	1800
"102"	1500
"103"	6300
"104"	500
"105"	976
"106"	3300
"107"	1100
"108"	563
"109"	1800
"110"	3900
"111"	957
"112"	974
"113"	755
"114"	932
"115"	1300
"116"	1100
"117"	1600
"118"	1500
"119"	1500
"120"	742
"121"	1300
"122"	1200
"123"	660
"124"	4900
"125"	857
"126"	1500
"127"	2200
"128"	416
"129"	7800
"130"	709
"131"	1500
"132"	1500
"133"	1300
"134"	10100
"135"	16700
"136"	958
"137"	1200
"138"	5100
"139"	2000
"140"	1900
"141"	1100
"142"	817
"143"	1300
"144"	108400
"145"	1100
"146"	8000
"147"	2000
"148"	731
"149"	1200
"150"	1300
"151"	916
"152"	884
"153"	10400
"154"	7700
"155"	1200
"156"	3000
"157"	3100
"158"	2400
"159"	1300
"160"	6000
"161"	8200
"162"	1400
"163"	1300
"164"	7700
"165"	2600
"166"	30200
"167"	6300
"168"	1400
"169"	3800
"170"	237
"171"	6300
"172"	1900
"173"	5700
"174"	824
"175"	1700
"176"	2300
"177"	5400
"178"	1400
"179"	504
"180"	3500
"181"	948
"182"	664
"183"	4500
"184"	903
"185"	8800
"186"	2000
"187"	9700
"188"	1600
"189"	9100
"190"	4200
"191"	1100
"192"	1000
"193"	1800
"194"	871
"195"	2400
"196"	734
"197"	855
"198"	473
"199"	1600
"200"	2000
"201"	37900
"202"	1900
"203"	3400
"204"	2000
"205"	1100
"206"	10500
"207"	8400
"208"	773
"209"	867
"210"	883
"211"	500
"212"	1900
"213"	905
"214"	2100
